Photon    Tot. w/  
Energy    Coherent 

1.000E-03 2.121E+03 
1.150E-03 1.522E+03 
1.323E-03 1.092E+03 
1.323E-03 4.532E+03 
1.341E-03 4.489E+03 
1.359E-03 4.446E+03 
1.359E-03 6.083E+03 
1.500E-03 5.226E+03 
1.526E-03 4.998E+03 
1.526E-03 5.653E+03 
2.000E-03 2.931E+03 
3.000E-03 1.049E+03 
4.000E-03 4.921E+02 
5.000E-03 2.709E+02 
6.000E-03 1.656E+02 
8.000E-03 7.573E+01 
1.000E-02 4.115E+01 
1.187E-02 2.577E+01 
1.187E-02 1.793E+02 
1.500E-02 9.854E+01 
2.000E-02 4.564E+01 
3.000E-02 1.505E+01 
4.000E-02 6.761E+00 
5.000E-02 3.635E+00 
6.000E-02 2.203E+00 
8.000E-02 1.030E+00 
1.000E-01 5.971E-01 
1.500E-01 2.623E-01 
2.000E-01 1.719E-01 
3.000E-01 1.150E-01 
4.000E-01 9.414E-02 
5.000E-01 8.259E-02 
6.000E-01 7.483E-02 
8.000E-01 6.440E-02 
1.000E+00 5.735E-02 
1.022E+00 5.670E-02 
1.250E+00 5.105E-02 
1.500E+00 4.661E-02 
2.000E+00 4.093E-02 
2.044E+00 4.056E-02 
3.000E+00 3.539E-02 
4.000E+00 3.296E-02 
5.000E+00 3.187E-02 
6.000E+00 3.141E-02 
7.000E+00 3.133E-02 
8.000E+00 3.146E-02 
9.000E+00 3.173E-02 
1.000E+01 3.207E-02 
1.100E+01 3.244E-02 
1.200E+01 3.284E-02 
1.300E+01 3.324E-02 
1.400E+01 3.365E-02 
1.500E+01 3.405E-02 
1.600E+01 3.447E-02 
1.800E+01 3.526E-02 
2.000E+01 3.603E-02 
2.200E+01 3.678E-02 
2.400E+01 3.749E-02 
2.600E+01 3.815E-02 
2.800E+01 3.879E-02 
3.000E+01 3.939E-02 
4.000E+01 4.197E-02 
5.000E+01 4.403E-02 
6.000E+01 4.570E-02 
8.000E+01 4.827E-02 
1.000E+02 5.015E-02 
1.500E+02 5.323E-02 
2.000E+02 5.511E-02 
3.000E+02 5.735E-02 
4.000E+02 5.866E-02 
5.000E+02 5.953E-02 
6.000E+02 6.015E-02 
8.000E+02 6.099E-02 
1.000E+03 6.153E-02 
1.500E+03 6.232E-02 
2.000E+03 6.276E-02 
3.000E+03 6.323E-02 
4.000E+03 6.349E-02 
5.000E+03 6.365E-02 
6.000E+03 6.376E-02 
8.000E+03 6.391E-02 
1.000E+04 6.400E-02 
1.500E+04 6.413E-02 
2.000E+04 6.420E-02 
3.000E+04 6.427E-02 
4.000E+04 6.431E-02 
5.000E+04 6.434E-02 
6.000E+04 6.435E-02 
8.000E+04 6.438E-02 
1.000E+05 6.438E-02 
